src_ip,dst_ip,rtt
142.250.194.134,192.168.182.221,0.001056
142.250.194.134,192.168.182.221,0.100371
142.250.194.134,192.168.182.221,0.013920
142.250.194.134,192.168.182.221,0.010939
142.250.194.134,192.168.182.221,0.092759
142.250.194.134,192.168.182.221,0.002891
142.250.194.134,192.168.182.221,0.027552
142.250.194.134,192.168.182.221,0.002617
142.250.194.134,192.168.182.221,0.233751
142.250.194.134,192.168.182.221,0.025582
142.250.194.134,192.168.182.221,0.169508
142.250.194.134,192.168.182.221,0.028319
142.250.194.134,192.168.182.221,0.004548
142.250.194.134,192.168.182.221,0.072706
142.250.194.134,192.168.182.221,0.080292
142.250.194.134,192.168.182.221,0.000440
142.250.194.134,192.168.182.221,0.089783
142.250.194.134,192.168.182.221,0.004184
142.250.194.134,192.168.182.221,0.062694
142.250.194.134,192.168.182.221,0.109674
142.250.194.134,192.168.182.221,15.305712
142.250.194.134,192.168.182.221,0.007163
142.250.194.134,192.168.182.221,0.123875
142.250.194.134,192.168.182.221,0.002006
142.250.194.134,192.168.182.221,0.008526
142.250.194.134,192.168.182.221,0.041374
142.250.194.134,192.168.182.221,0.000619
142.250.194.134,192.168.182.221,0.014725
142.250.194.134,192.168.182.221,0.001765
142.250.194.134,192.168.182.221,0.001227
142.250.194.134,192.168.182.221,0.001072
142.250.194.134,192.168.182.221,0.009551
142.250.194.134,192.168.182.221,0.096439
142.250.194.134,192.168.182.221,0.002405
142.250.194.134,192.168.182.221,0.063129
142.250.194.134,192.168.182.221,0.025428
142.250.194.134,192.168.182.221,0.001924
142.250.194.134,192.168.182.221,0.000766
142.250.194.134,192.168.182.221,0.014225
142.250.194.134,192.168.182.221,0.024816
142.250.194.134,192.168.182.221,0.022273
142.250.194.134,192.168.182.221,1.802795
142.250.194.134,192.168.182.221,0.095637
142.250.194.134,192.168.182.221,0.117106
142.250.194.134,192.168.182.221,0.013046
142.250.194.134,192.168.182.221,0.108402
142.250.194.134,192.168.182.221,0.007516
142.250.194.134,192.168.182.221,0.037088
142.250.194.134,192.168.182.221,0.001919
142.250.194.134,192.168.182.221,0.074019
142.250.194.134,192.168.182.221,0.127668
142.250.194.134,192.168.182.221,0.000306
142.250.194.134,192.168.182.221,0.686574
142.250.194.134,192.168.182.221,0.000984
142.250.194.134,192.168.182.221,0.384426
142.250.194.134,192.168.182.221,0.000327
142.250.194.134,192.168.182.221,0.039747
142.250.194.134,192.168.182.221,0.014376
142.250.194.134,192.168.182.221,24.864361
142.250.194.134,192.168.182.221,0.919411
142.250.194.194,192.168.182.221,0.436652
142.250.194.194,192.168.182.221,0.038281
142.250.194.34,192.168.182.221,0.26874
142.250.194.34,192.168.182.221,0.00655
142.250.194.34,192.168.182.221,0.218965
142.250.194.34,192.168.182.221,0.001725
142.250.194.34,192.168.182.221,0.325988
142.250.194.34,192.168.182.221,0.012334
142.250.194.34,192.168.182.221,0.166325
142.250.194.34,192.168.182.221,0.235335
142.250.194.34,192.168.182.221,0.589341
142.250.194.34,192.168.182.221,0.044830
142.250.194.34,192.168.182.221,0.402486
142.250.194.34,192.168.182.221,0.029010
142.250.194.34,192.168.182.221,0.015050
142.250.194.34,192.168.182.221,0.309856
142.250.194.34,192.168.182.221,0.001569
142.250.194.34,192.168.182.221,0.001024
142.250.194.34,192.168.182.221,0.006233
142.250.194.34,192.168.182.221,0.017285
142.250.194.34,192.168.182.221,0.004630
142.250.194.34,192.168.182.221,0.001007
142.250.194.34,192.168.182.221,0.212012
142.250.194.34,192.168.182.221,0.472539
142.250.194.34,192.168.182.221,0.270851
142.250.194.34,192.168.182.221,0.011640
142.250.194.34,192.168.182.221,0.204031
142.250.194.34,192.168.182.221,0.000807
142.250.194.34,192.168.182.221,0.043574
142.250.194.34,192.168.182.221,0.001212
142.250.194.34,192.168.182.221,0.713024
142.250.194.34,192.168.182.221,0.012610
142.250.194.34,192.168.182.221,0.098376
142.250.194.34,192.168.182.221,0.439825
142.250.194.34,192.168.182.221,0.010546
142.250.194.34,192.168.182.221,0.00905
142.250.194.34,192.168.182.221,0.113561
142.250.194.34,192.168.182.221,0.039307
142.250.194.34,192.168.182.221,0.002950
142.250.194.34,192.168.182.221,0.039260
142.250.194.34,192.168.182.221,0.773694
142.250.194.34,192.168.182.221,2.195244
142.250.194.34,192.168.182.221,0.635362
142.250.194.34,192.168.182.221,0.068806
142.250.194.34,192.168.182.221,1.291685
142.250.194.34,192.168.182.221,0.023930
142.250.194.34,192.168.182.221,0.003537
142.250.194.34,192.168.182.221,0.169048
142.250.194.34,192.168.182.221,0.001717
